phase,scenario_id,sequence,subject,event_type,event_id,runtime_transition_rows,tension_deltas,tension_values_after,overall_score,value_potential,mutual_benefit_potential,learning_potential,risk_cost,recommended_depth,life_state_summary,missing_core_modules
P1,P1-rent-failed,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.sys.rent.failed,formal:formal-all-006-map:P1-rent-failed-01:83504e94,1,constraint:risk:update:0.282; social:relationship:generate:0.1415; memory:soul-summary:update:0.1,"constraint:risk:act=0.774779,int=1.0,trend=0.052; memory:soul-summary:act=0.464867,int=0.6,trend=0.1; social:relationship:act=0.552804,int=0.7135,trend=0.1415",0.0,0.0,0.661474,0.320089,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.91 restraint=0.62,
P1,P1-rent-failed,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.sys.rent.failed,formal:formal-all-006-map:P1-rent-failed-02:de6fa22d,1,constraint:risk:update:0.282; social:relationship:generate:0.1415; memory:soul-summary:update:0.1,"constraint:risk:act=0.774779,int=1.0,trend=0.052; memory:soul-summary:act=0.464867,int=0.6,trend=0.1; social:relationship:act=0.552804,int=0.7135,trend=0.1415",0.0,0.0,0.661474,0.320089,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.91 restraint=0.62,
P1,P1-reward-issued,1,poca.reward,poca.reward.issued,formal:formal-all-006-map:P1-reward-issued-01:e6ac6dc5,1,constraint:risk:generate:0.268; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.38665,int=0.468,trend=0.268; memory:soul-summary:act=0.247853,int=0.3,trend=0.1; social:relationship:act=0.264789,int=0.3205,trend=0.1205",0.0,0.0,0.470133,0.207328,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48,
P1,P1-reward-issued,2,poca.reward,poca.reward.issued,formal:formal-all-006-map:P1-reward-issued-02:642948a3,1,constraint:risk:generate:0.268; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.38665,int=0.468,trend=0.268; memory:soul-summary:act=0.247853,int=0.3,trend=0.1; social:relationship:act=0.264789,int=0.3205,trend=0.1205",0.0,0.0,0.470133,0.207328,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48,
P2,P2-opportunity-risk-requirement,,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P2-opportunity-risk-requirement:8e5f6629,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.145; memory:soul-summary:update:0.1,"constraint:risk:act=0.723724,int=1.0,trend=0.264; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.361862,int=0.5,trend=0.1; social:relationship:act=0.434234,int=0.6,trend=0.145; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.316086,0.706133,0.729339,0.334849,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
P2,P2-pressure-chat,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.chat.message.sent,formal:formal-all-006-map:P2-pressure-chat:0e8d69bc,1,constraint:risk:update:0.254; social:relationship:generate:0.1415; memory:soul-summary:update:0.1,"constraint:risk:act=0.819974,int=0.934,trend=0.254; memory:soul-summary:act=0.438958,int=0.5,trend=0.1; social:relationship:act=0.511386,int=0.5825,trend=0.1415",0.0,0.0,0.830261,0.290017,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P2,P2-rejection-feedback,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.rejected,formal:formal-all-006-map:P2-rejection-feedback:85519eed,1,goal:unsatisfied:generate:0.195; value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.124; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; goal:unsatisfied:act=0.346777,int=0.395,trend=0.195; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.284445,int=0.324,trend=0.124; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.175235,0.450325,0.805756,0.25117,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P2,P2-reputation-down,1,poca.reputation,poca.reputation.decreased,formal:formal-all-006-map:P2-reputation-down:9a9e6dd3,1,constraint:risk:generate:0.268; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.38665,int=0.468,trend=0.268; memory:soul-summary:act=0.247853,int=0.3,trend=0.1; social:relationship:act=0.264789,int=0.3205,trend=0.1205",0.0,0.0,0.470133,0.207328,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48,
P2,P2-task-notified,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.task.notified,formal:formal-all-006-map:P2-task-notified:3c94411f,1,goal:unsatisfied:generate:0.195; value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; goal:unsatisfied:act=0.346777,int=0.395,trend=0.195; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.281372,int=0.3205,trend=0.1205; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.152446,0.450325,0.47146,0.25117,0.921841,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P3,P3-direct-requirement,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.requirement.published,formal:formal-all-006-map:P3-direct-requirement:fb90a555,1,goal:unsatisfied:generate:0.195; value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.124; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; goal:unsatisfied:act=0.346777,int=0.395,trend=0.195; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.284445,int=0.324,trend=0.124; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.203155,0.561525,0.584156,0.25117,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P3,P3-rent-assessed,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.sys.rent.assessed,formal:formal-all-006-map:P3-rent-assessed:16031476,1,constraint:risk:update:0.282; social:relationship:generate:0.1415; memory:soul-summary:update:0.1,"constraint:risk:act=0.774779,int=1.0,trend=0.052; memory:soul-summary:act=0.464867,int=0.6,trend=0.1; social:relationship:act=0.552804,int=0.7135,trend=0.1415",0.0,0.0,0.661474,0.320089,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.91 restraint=0.62,
P3,P3-rent-failed,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.sys.rent.failed,formal:formal-all-006-map:P3-rent-failed:bafdb9ae,1,constraint:risk:update:0.282; social:relationship:generate:0.1415; memory:soul-summary:update:0.1,"constraint:risk:act=0.774779,int=1.0,trend=0.052; memory:soul-summary:act=0.464867,int=0.6,trend=0.1; social:relationship:act=0.552804,int=0.7135,trend=0.1415",0.0,0.0,0.661474,0.320089,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.91 restraint=0.62,
P3,P3-reputation-up,1,poca.reputation,poca.reputation.increased,formal:formal-all-006-map:P3-reputation-up:92cb4401,1,constraint:risk:generate:0.268; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.38665,int=0.468,trend=0.268; memory:soul-summary:act=0.247853,int=0.3,trend=0.1; social:relationship:act=0.264789,int=0.3205,trend=0.1205",0.0,0.0,0.470133,0.207328,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48,
P3,P3-settlement-completed,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.settlement.completed,formal:formal-all-006-map:P3-settlement-completed:5b1c1b49,1,constraint:risk:generate:0.254; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.281372,int=0.3205,trend=0.1205",0.0,0.0,0.47146,0.21997,0.976966,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P4,P4-handover-approved,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.approved,formal:formal-all-006-map:P4-handover-approved-01:d4432744,1,value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.124; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.284445,int=0.324,trend=0.124; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.012033,0.148912,0.692556,0.21997,0.921841,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P4,P4-handover-approved,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.approved,formal:formal-all-006-map:P4-handover-approved-02:6b3a9d43,1,value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.124; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.284445,int=0.324,trend=0.124; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.012033,0.148912,0.692556,0.21997,0.921841,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P4,P4-handover-delivered,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.delivered,formal:formal-all-006-map:P4-handover-delivered-01:d801a9be,1,value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.281372,int=0.3205,trend=0.1205; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.0,0.148912,0.57986,0.21997,0.921841,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P4,P4-handover-delivered,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.delivered,formal:formal-all-006-map:P4-handover-delivered-02:e9127a8d,1,value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.281372,int=0.3205,trend=0.1205; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.0,0.148912,0.57986,0.21997,0.921841,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P4,P4-order-accepted,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.accepted,formal:formal-all-006-map:P4-order-accepted-01:f55ede1e,1,goal:unsatisfied:generate:0.195; value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; goal:unsatisfied:act=0.346777,int=0.395,trend=0.195; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.281372,int=0.3205,trend=0.1205; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.185686,0.450325,0.69306,0.25117,0.921841,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P4,P4-order-accepted,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.accepted,formal:formal-all-006-map:P4-order-accepted-02:edb77886,1,goal:unsatisfied:generate:0.195; value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; goal:unsatisfied:act=0.346777,int=0.395,trend=0.195; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.281372,int=0.3205,trend=0.1205; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.185686,0.450325,0.69306,0.25117,0.921841,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P4,P4-positive-requirement,1,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P4-positive-requirement-01:e951b815,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.138; memory:soul-summary:update:0.1,"constraint:risk:act=0.552925,int=0.764,trend=0.296; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.28949,int=0.4,trend=0.1; social:relationship:act=0.33436,int=0.462,trend=0.138; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.29771,0.706133,0.663149,0.301059,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
P4,P4-positive-requirement,2,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P4-positive-requirement-02:56430bcc,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.138; memory:soul-summary:update:0.1,"constraint:risk:act=0.552925,int=0.764,trend=0.296; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.28949,int=0.4,trend=0.1; social:relationship:act=0.33436,int=0.462,trend=0.138; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.29771,0.706133,0.663149,0.301059,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
P4,P4-reputation-increased,1,poca.reputation,poca.reputation.increased,formal:formal-all-006-map:P4-reputation-increased-01:194c9025,1,constraint:risk:generate:0.268; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.38665,int=0.468,trend=0.268; memory:soul-summary:act=0.247853,int=0.3,trend=0.1; social:relationship:act=0.264789,int=0.3205,trend=0.1205",0.0,0.0,0.470133,0.207328,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48,
P4,P4-reputation-increased,2,poca.reputation,poca.reputation.increased,formal:formal-all-006-map:P4-reputation-increased-02:1169e992,1,constraint:risk:generate:0.268; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.38665,int=0.468,trend=0.268; memory:soul-summary:act=0.247853,int=0.3,trend=0.1; social:relationship:act=0.264789,int=0.3205,trend=0.1205",0.0,0.0,0.470133,0.207328,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48,
P4,P4-settlement-completed,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.settlement.completed,formal:formal-all-006-map:P4-settlement-completed-01:948c4c69,1,constraint:risk:generate:0.254; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.281372,int=0.3205,trend=0.1205",0.0,0.0,0.47146,0.21997,0.976966,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P4,P4-settlement-completed,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.settlement.completed,formal:formal-all-006-map:P4-settlement-completed-02:4b4a23c8,1,constraint:risk:generate:0.254; social:relationship:generate:0.1205; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.281372,int=0.3205,trend=0.1205",0.0,0.0,0.47146,0.21997,0.976966,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
P5,P5-direct-inbox-interaction,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.chat.message.sent,formal:formal-all-006-map:P5-direct-inbox-interaction-01:4e78f36d,1,constraint:risk:update:0.268; social:relationship:generate:0.1415; memory:soul-summary:update:0.1,"constraint:risk:act=0.596849,int=0.722,trend=0.268; memory:soul-summary:act=0.330665,int=0.4,trend=0.1; social:relationship:act=0.381918,int=0.462,trend=0.1415",0.0,0.0,0.889753,0.253353,0.929388,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.94 restraint=0.48,
P5,P5-direct-inbox-interaction,2,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.chat.message.sent,formal:formal-all-006-map:P5-direct-inbox-interaction-02:0e17c9a6,1,constraint:risk:update:0.282; social:relationship:generate:0.16; memory:soul-summary:update:0.1,"constraint:risk:act=0.775692,int=1.0,trend=0.278; memory:soul-summary:act=0.387846,int=0.5,trend=0.1; social:relationship:act=0.490625,int=0.6325,trend=0.16",0.0,0.0,0.994,0.297328,1.0,none,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.92 restraint=0.62,
P5,P5-market-broadcast,1,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P5-market-broadcast-01:72570e0f,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.138; memory:soul-summary:update:0.1,"constraint:risk:act=0.552925,int=0.764,trend=0.296; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.28949,int=0.4,trend=0.1; social:relationship:act=0.33436,int=0.462,trend=0.138; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.29771,0.706133,0.663149,0.301059,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
P5,P5-market-broadcast,2,mrk.requirement.published.broadcast,mrk.requirement.published.broadcast,formal:formal-all-006-map:P5-market-broadcast-02:07abf84a,1,goal:unsatisfied:update:0.204; value:world-opportunity:generate:0.12; constraint:risk:update:0.296; social:relationship:generate:0.138; memory:soul-summary:update:0.1,"constraint:risk:act=0.552925,int=0.764,trend=0.296; goal:unsatisfied:act=0.43134,int=0.596,trend=0.204; memory:soul-summary:act=0.28949,int=0.4,trend=0.1; social:relationship:act=0.33436,int=0.462,trend=0.138; value:world-opportunity:act=0.318439,int=0.44,trend=0.12",0.29771,0.706133,0.663149,0.301059,1.0,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.88 restraint=0.76,
P5,P5-order-feedback,1,wsp.d8c9ea3f-2821-4133-af9a-a821bfa5b243,wsp.mrk.order.handover.rejected,formal:formal-all-006-map:P5-order-feedback-01:4a59b741,1,goal:unsatisfied:generate:0.195; value:world-opportunity:generate:0.12; constraint:risk:generate:0.254; social:relationship:generate:0.124; memory:soul-summary:generate:0.1,"constraint:risk:act=0.398574,int=0.454,trend=0.254; goal:unsatisfied:act=0.346777,int=0.395,trend=0.195; memory:soul-summary:act=0.263375,int=0.3,trend=0.1; social:relationship:act=0.284445,int=0.324,trend=0.124; value:world-opportunity:act=0.280933,int=0.32,trend=0.12",0.20259,0.450325,0.805756,0.25117,0.921841,report,cycle=active recovery=stable energy=1.00 fatigue=0.00 wakefulness=0.97 restraint=0.34,
